descmarca,producto,descrip,claseprod,preciosiva
,COBER2500,SACA HOJAS PILETA,,"696,96"
GUANTES DE CUERO,GUA9999,*GUANTES ALG. MOTEADO*VER GUANTES TEJIDOS,PESOS,"47863,48"
TUBO PRESION 300 LBS. ROJO O N,2025_RB,25 MM x 25 METROS tubo presion 300 lbs,PESOS,"1281,41"
TUBO PRESION 300 LBS. ROJO O N,2024_RB,25 MM x 50 METROS tubo presion 300lbs,PESOS,"1281,43"
6 X 8 MM GAS SOLDADORA DUPLA X,20650_RB,8 x 8 MM GAS SOLDADORA DUPLA x 50 MTS,PESOS,"1129,81"
MEGAM,MEG20,ABECEDARIO CALADO  20 MM.,PESOS,"1092,58"
MEGAM,MEG25,ABECEDARIO CALADO  25 MM.,PESOS,"1134,52"
MEGAM,MEG30,ABECEDARIO CALADO  30 MM.,PESOS,"1274,98"
MEGAM,MEG40,ABECEDARIO CALADO  40 MM.,PESOS,"1420,9"
MEGAM,MEG50,ABECEDARIO CALADO  50 MM.,PESOS,"1563,16"
MEGAM,MEG60,ABECEDARIO CALADO  60 MM.,PESOS,"1862,3"
MEGAM,MEG70,ABECEDARIO CALADO  70 MM.,PESOS,"2103,08"
MEGAM,MEG80,ABECEDARIO CALADO  80 MM.,PESOS,"2334,72"
MEGAM,MEG100,ABECEDARIO CALADO 100 MM.,PESOS,"3119,04"
MEGAM,MEG120,ABECEDARIO CALADO 120 MM.,PESOS,"7274,12"
CRECCHIO,CRATAG1_SA,ABRAZ P/CAñO DE 1,PESOS,0
CRECCHIO,CRATAG1/2_SA,ABRAZ P/CAñO DE 1/2 X 100U.,PESOS,"3335,26"
CRECCHIO,CRATAG1/4_SA,ABRAZ P/CAñO DE 1/4 X 200U.,PESOS,"2842,88"
CRECCHIO,CRATAG3/4_SA,ABRAZ P/CAñO DE 3/4 X 50U.,PESOS,"2637,04"
PERFECTO AUTOMOT. A PEDI,AUT6010,ABRAZAD.M.BENZ C/I 15 MM A3769977090,PESOS,"6615,78"
PERFECTO AUTOMOT. A PEDI,AUT6008,ABRAZAD.M.BENZ C/I 15 MM A3769978490,PESOS,"8741,26"
PERFECTO AUTOMOT. A PEDI,AUT6011,ABRAZAD.M.BENZ C/I 20 MM 0039978590,PESOS,"7821,88"
PERFECTO AUTOMOT. A PEDI,AUT6009,ABRAZAD.M.BENZ C/I 20 MM A0069979590,PESOS,"7769,24"
PERFECTO AUTOMOT. A PEDI,AUT6001,ABRAZAD.M.BENZ C/R 15 MM  74-82 MM 3849977390,PESOS,"8716,56"
PERFECTO AUTOMOT. A PEDI,AUT6002,ABRAZAD.M.BENZ C/R 15 MM  80-88 MM 3849977490,PESOS,"3804,96"
PERFECTO AUTOMOT. A PEDI,AUT6003,ABRAZAD.M.BENZ C/R 15 MM  86-94 MM 3849977490,PESOS,"3901,18"
PERFECTO AUTOMOT. A PEDI,AUT6004,ABRAZAD.M.BENZ C/R 15 MM  92-100MM 3849977490,PESOS,"3992,9"
PERFECTO AUTOMOT. A PEDI,AUT6005,ABRAZAD.M.BENZ C/R 15 MM 104-112MM 3849977590,PESOS,"4156,06"
PERFECTO AUTOMOT. A PEDI,AUT6007,ABRAZAD.M.BENZ C/R 15 MM 116-124MM 3449978190,PESOS,"4447,36"
PERFECTO AUTOMOT. A PEDI,AUT6006,ABRAZAD.M.BENZ C/R 15 MM 116-124MM 3849977690,PESOS,"4447,36"
CARBIZ,CAB0201_SA,ABRAZADERA A (3/8,PESOS,0
PERFECTO,PEFA12_SA,ABRAZADERA ALAMBRE Nº 12 145-195,PESOS,"134,68"
PERFECTO,PEFA19_SA,ABRAZADERA ALAMBRE Nº 19 220-270,PESOS,"139,64"
PERFECTO,PEFA25_SA,ABRAZADERA ALAMBRE Nº 25 285-360,PESOS,"151,82"
PERFECTO,PEFA32_SA,ABRAZADERA ALAMBRE Nº 32 45-36,PESOS,"174,04"
PERFECTO,PEFA38_SA,ABRAZADERA ALAMBRE Nº 38 400-485,PESOS,"176,98"
PERFECTO,PEFA50_SA,ABRAZADERA ALAMBRE Nº 50 520-580,PESOS,"197,88"
PERFECTO,PEFA06_SA,ABRAZADERA ALAMBRE Nº 6  95-140,PESOS,129
PERFECTO,PEFA07_SA,ABRAZADERA ALAMBRE Nº 7 105-150,PESOS,"129,48"
CARBIZ,CAB0202_SA,ABRAZADERA B (1/2,PESOS,0
CARBIZ,CAB0203_SA,ABRAZADERA C (5/8,PESOS,0
PERFECTO,PEF1020_SA,ABRAZADERA CIERRE RAPIDO 10-20,PESOS,"180,08"
PERFECTO.,ERF1020,ABRAZADERA CIERRE RAPIDO 12MM 10-20,PESOS,"190,84"
PERFECTO.,ERF1030,ABRAZADERA CIERRE RAPIDO 12MM 110-130,PESOS,"363,33"
PERFECTO.,ERF2545,ABRAZADERA CIERRE RAPIDO 12MM 125-145,PESOS,"367,03"
PERFECTO.,ERF1728,ABRAZADERA CIERRE RAPIDO 12MM 17-28,PESOS,"193,84"
